id,titulo,anio,editorial_institucion,tipo_doc,pais,departamento,nombre_revista_compilacion,numero_revista,autor,ciudad,temas,url,obs,img,file_img
135,Estado de la investigación de la construcción del espacio regional paceño,2008,"CIDES - UMSA,DIPGIS - UMSA,PIEB",ensayo,Bolivia,La Paz,Estados de la investigación: La Paz. Volumen I,,Gallardo G.,La Paz,organización socioespacial,https://docplayer.es/81202311-Estados-de-la-investigacion-la-paz-volumen-i.html,,https://labtecnosocial.org/explora-bib/urbana/135.png,135.png
136,Diálogo: El descuidado tema urbano en la Bolivia de hoy,2008,PIEB,entrevista,Bolivia,La Paz,T'inkazos,25,"Prado F.,Feldis J.,Solares H.,Gallardo G.,Mazurek H.",Urbanización boliviana,investigación urbana,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_25.pdf,,https://labtecnosocial.org/explora-bib/urbana/136.jpeg,136.jpeg
137,El olvidado desarrollo urbano desde una perspectiva institucional y de gestión,2008,PIEB,ensayo,Bolivia,La Paz,T'inkazos,25,Prado F.,Urbanización boliviana,gestión municipal,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_25.pdf,,https://labtecnosocial.org/explora-bib/urbana/137.jpeg,137.jpeg
138,Para escuchar las voces de la calle: Las contradicciones entre el derecho al empleo y el derecho a la ciudad,2008,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,25,Pereira Morato R.,La Paz,empleo,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_25.pdf,,https://labtecnosocial.org/explora-bib/urbana/138.jpeg,138.jpeg
139,"Jóvenes, miedo y espacio urbano en Cochabamba",2008,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,25,"Rodriguez Ostria G.,Solares H.,Zabala H.",Cochabamba,inseguridad ciudadana,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_25.pdf,,https://labtecnosocial.org/explora-bib/urbana/139.jpeg,139.jpeg
140,Sectores periurbanos en la Santa Cruz dual,2008,PIEB,ensayo,Blivia,La Paz,T'inkazos,25,Prado I.,Santa Cruz,desigualdad,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_25.pdf,,https://labtecnosocial.org/explora-bib/urbana/140.jpeg,140.jpeg
141,Instrumentos para la gestión municipal,2008,PIEB,ensayo,Bolivia,La Paz,T'inkazos,25,Chirino A.,Urbanización boliviana,gestión municipal,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_25.pdf,,https://labtecnosocial.org/explora-bib/urbana/141.jpeg,141.jpeg
142,élites cochabambinas en clave etnográfica,2008,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,22,Gordillo J.,Cochabamba,"élites,identidad",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_22.pdf,,https://labtecnosocial.org/explora-bib/urbana/142.jpeg,142.jpeg
143,El rescate de lo público,2008,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,2,Giraldo C.,Urbanización boliviana,gestión municipal,https://www.cedib.org/biblioteca/villa_libre_no_2_organizacion_y_participacion_politica/,,https://labtecnosocial.org/explora-bib/urbana/143.png,143.png
144,Del repudio a la alternativa: Procesos de revalorización y proyección de nociones de autoridad en la organización vecinal alteña,2008,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,2,"Revilla C.,Arteaga W.,Esposito C.",El Alto,barrios populares,https://www.cedib.org/biblioteca/villa_libre_no_2_organizacion_y_participacion_politica/,,https://labtecnosocial.org/explora-bib/urbana/144.png,144.png
145,"Cambios en la forma de participación de los sectores populares en Bolivia, antes y después de la aplicación del modelo neoliberal",2008,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,2,Torrico E.,Urbanización boliviana,"movimientos sociales,barrios populares",https://www.cedib.org/biblioteca/villa_libre_no_2_organizacion_y_participacion_politica/,,https://labtecnosocial.org/explora-bib/urbana/145.png,145.png
146,Dinámica organizativa en la zona sur de Cochabamba,2008,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,2,Antequera N.,Cochabamba,"movimientos sociales,barrios populares",https://www.cedib.org/biblioteca/villa_libre_no_2_organizacion_y_participacion_politica/,,https://labtecnosocial.org/explora-bib/urbana/146.png,146.png
147,"El itinerario organizativo de Villa Pagador, Cochabamba",2008,CEDIB,informe,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,2,Equipo CEDIB,Cochabamba,"movimientos sociales,barrios populares",https://www.cedib.org/biblioteca/villa_libre_no_2_organizacion_y_participacion_politica/,,https://labtecnosocial.org/explora-bib/urbana/147.png,147.png
148,La difícil cuestión de ser indígena en la ciudad,2008,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,3,Antequera N.,Urbanización boliviana,"indígenas urbanos,desigualdad",https://www.cedib.org/biblioteca/villa_libre_no3_ser_indigena_en_la_ciudad/,,https://labtecnosocial.org/explora-bib/urbana/148.jpeg,148.jpeg
149,Del Chaco Boreal a la periferia urbana: Etnicidad Ayoreoide en la ciudad de Santa Cruz de la Sierra,2008,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,3,Roca I.,Santa Cruz,"indígenas urbanos,desigualdad",https://www.cedib.org/biblioteca/villa_libre_no3_ser_indigena_en_la_ciudad/,,https://labtecnosocial.org/explora-bib/urbana/149.jpeg,149.jpeg
150,Carpeta de Datos de la Zona Sur,2008,CEDIB,libro,Bolivia,Cochabamba,,,CEDIB,Cochabamba,demografía,https://www.cedib.org/wp-content/uploads/2009/03/Guia-Zona-Sur-LIBRO-1.pdf,,https://labtecnosocial.org/explora-bib/urbana/150.jpeg,150.jpeg
151,"Conflicto social, comercial en procesos de urbanización contemporánea de la ciudad de El Alto, Sector de la Ceja 21",2008,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,28,Luna Acevedo H.,El Alto,"comercio,mercados",https://repositorio.umsa.bo/handle/123456789/16253,,https://labtecnosocial.org/explora-bib/urbana/151.png,151.png
152,Imaginarios sociales y culturales de los niños trabajadores de la ciudad de Potosí - Familia Escuela y trabajo,2008,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,28,Jurado E.,Potosí,imaginarios urbanos,https://repositorio.umsa.bo/handle/123456789/16253,,https://labtecnosocial.org/explora-bib/urbana/152.png,152.png
153,Uso del espacio público en la Ciudad de La Paz,2008,IDIS - UMSA,ensayo,Bolivia,La Paz,Temas Sociales,28,Pereira Morato R.,La Paz,espacio público,https://repositorio.umsa.bo/handle/123456789/16253,,https://labtecnosocial.org/explora-bib/urbana/153.png,153.png
154,El nuevo urbanismo y su relación con América Latina,2008,IIACH - UMSS,boletín,Bolivia,Cochabamba,Boletín. Apoyo a la investigación ASDI-UMSS-IIA,3,Bolivar H.,Urbanización boliviana,investigación urbana,https://www.iiach.org/copia-de-publicaciones-en-el-tiempo-2,,https://labtecnosocial.org/explora-bib/urbana/154.jpeg,154.jpeg
155,"Las comunidades de aves como indicadores ecológicos para programas de monitoreo ambiental en la ciudad de La Paz, Bolivia",2008,Instituto de Ecología - UMSA,articulo de investigación,Bolivia,,Ecología en Bolivia,43,"Villegas M.,Garitano-Zavala A.",La Paz,"medio ambiente,fauna urbana",https://www.researchgate.net/profile/Alvaro-Garitano-Zavala/publication/230918255_Las_comunidades_de_aves_como_indicadores_ecologicos_para_programas_de_monitoreo_ambiental_en_la_ciudad_de_La_Paz_Bolivia/links/09e4150606b92a8752000000/Las-comunidades-de-aves-como-indicadores-ecologicos-para-programas-de-monitoreo-ambiental-en-la-ciudad-de-La-Paz-Bolivia.pdf,,https://labtecnosocial.org/explora-bib/urbana/155.jpeg,155.jpeg
156,"""Eso es ser pobre e indio en este país"": repercusiones urbanas e implicaciones sociales de la discriminación y la exclusión. Lecciones de El Alto, Bolivia.",2008,"CLACSO,Siglo del Hombre",articulo de investigación,Colombia,Bogotá,"Pobreza, exclusión y discriminación étnico-racial en América Latina y el Caribe",,Arbona J.,El Alto,"indígenas urbanos,desigualdad",http://biblioteca.clacso.edu.ar/gsdl/collect/clacso/index/assoc/D5944.dir/18arbo.pdf,,https://labtecnosocial.org/explora-bib/urbana/156.jpeg,156.jpeg
157,Bermejo: la confusión de los tipos urbanos en la frontera argentino-boliviana,2008,IRD,articulo de investigación,Argentina,Córdoba,Movilidad y procesos migratorios en el espacio de frontera argentino boliviana,,Souchaud S.,Bermejo,organización socioespacial,https://hal.ird.fr/ird-00323507/document,,https://labtecnosocial.org/explora-bib/urbana/157.jpeg,157.jpeg
158,"Estados de la investigación, Cochabamba (V/A)",2009,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,19,Cordova E.,Cochabamba,investigación urbana,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/158.jpeg,158.jpeg
159,El centro es la ausencia. Impulsos estatales y sociales de la descentralización en Cochabamba (1994-2008),2009,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,20,Cordova E.,Cochabamba,"movimientos sociales,política",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/159.jpeg,159.jpeg
160,"Acceso a la información en los municipios de Cochabamba, Quillacollo y Sacaba. Gestión 2007",2009,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,20,Ramirez A.,"Sacaba,Quillacollo,Cochabamba",gestión municipal,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/160.jpeg,160.jpeg
161,Lo urbano: la cristalización de lo social y de lo espacial,2009,CIDES - UMSA,ensayo,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,Mazurek H.,Urbanización boliviana,organización socioespacial,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/161.png,161.png
162,Personas y Territorios: la sociología urbana y el enfoque de los modos de vida en el sur,2009,CIDES - UMSA,ensayo,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,"Pattaroni L.,Kaufmann V.,Pedrazzani Y.,Bolay J.,Rabinovich A.",Urbanización boliviana,"organización socioespacial,desigualdad",http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/162.png,162.png
163,"Las ciudades bolivianas, ¿cómo entenderlas? Migración y urbanización",2009,CIDES - UMSA,ensayo,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,Pereira Morato R.,Urbanización boliviana,migración,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/163.png,163.png
164,Urbanización y Pobreza en la ciudad de Cochabamba,2009,CIDES - UMSA,ensayo,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,Ledo C.,Cochabamba,desigualdad,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/164.png,164.png
165,Santa Cruz: el poder y sus resistencias. Claves para entender la reivindicación autonomista cruceña,2009,CIDES - UMSA,ensayo,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,Peña C.,Santa Cruz,"identidad,movimientos sociales",http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/165.png,165.png
166,"Élites de poder, redes institucionales y proyecto regional en Cochabamba",2009,CIDES - UMSA,ensayo,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,"Gordillo J.,Rivera A.",Cochabamba,élites,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/166.png,166.png
167,Organización del trabajo y representaciones de clase en el comercio callejero de la ciudad de La Paz,2009,CIDES - UMSA,articulo de investigación,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,Barragan R.,La Paz,empleo,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/167.png,167.png
168,Para repensar el mestizaje boliviano a través del folklore boliviano -la reorganización del espacio urbano compartido en la Revolución de 1952-,2009,CIDES - UMSA,ensayo,Bolivia,La Paz,Estudios Urbanos. En la encrucijada de la interdisciplinaridad,,Bigenbo M.,Urbanización boliviana,identidad,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=73&catid=9&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/168.png,168.png
169,La noción de desarrollo en la planificación urbana y los nuevos paradigmas urbanos,2009,CIDES - UMSA,ensayo,Bolivia,La Paz,El desarrollo en cuestión: reflexiones desde América Latina,,Prado F.,Urbanización boliviana,planificación urbana,http://www.cides.edu.bo/index.php/component/jdownloads/?task=download.send&id=104&catid=17&m=0&Itemid=101,,https://labtecnosocial.org/explora-bib/urbana/169.jpeg,169.jpeg
170,La vecindad que no viajó. Migración internacional y desarrollo comunitario en zonas periurbanas de Cochabamba,2009,"PIEB,Defensoría del Pueblo,Pastoral de Movilidad Humana",libro,Bolivia,Cochabamba,,,"Roncken T.,Alquizalet O.,Cielo C.,Cespedes R.,Serrudo Y.",Cochabamba,"migración,desigualdad",https://www.academia.edu/44470771/La_vecindad_que_no_viaj%C3%B3_Migraci%C3%B3n_internacional_y_desarrollo_comunitario_en_zonas_periurbanas_de_Cochabamba,,https://labtecnosocial.org/explora-bib/urbana/170.jpeg,170.jpeg
171,Bien(estar). Luces para la distribución territorial del presupuesto en Oruro (2001 - 2007),2009,"GAM - Oruro,FAM-Bolivia,PIEB",libro,Bolivia,Oruro,,,"Martinelly E.,Choque V.,Martinelly W.",Oruro,planificación urbana,https://www.academia.edu/44470173/Bien_estar_Luces_para_la_distribuci%C3%B3n_territorial_del_presupuesto_en_Oruro_2001_2007_,,https://labtecnosocial.org/explora-bib/urbana/171.jpeg,171.jpeg
172,Vivir divididos. Fragmentación urbana y segmentación social en Cochabamba,2009,"GAM - Cochabamba,FAM-Bolivia,PIEB",libro,Bolivia,Cochabamba,,,"Rodriguez Ostria G.,Solares H.,Zabala Canedo M.,Gonzales Sandoval E.",Cochabamba,"imaginarios urbanos,violencia,segregación socioespacial",https://www.academia.edu/44470645/Vivir_divididos_Fragmentaci%C3%B3n_urbana_y_segmentaci%C3%B3n_social_en_Cochabamba,,https://labtecnosocial.org/explora-bib/urbana/172.jpeg,172.jpeg
173,Nudos SURurbanos. Integración y exclusión sociocultural en la Zona Sur de Cochabamba,2009,"GAM - Cochabamba,FAM-Bolivia,PIEB",libro,Bolivia,Cochabamba,,,"Mejia G.,Sanchez Patzy M.,Quispe Escobar A.",Cochabamba,"desigualdad,segregación socioespacial",https://archive.org/details/pieb_nudos_sururbanos_integracion_y_exclusion_sociocultural_en_la_zona_sur_de_cochabamba,,https://labtecnosocial.org/explora-bib/urbana/173.png,173.png
174,Espacio Territorial y sociocultural de los mojeños en la Ciudad de Trinidad,2009,"GAM - Trinidad,FAM-Bolivia,PIEB",libro,Bolivia,Beni,,,"Bogado D.,Fabricano A.,Noe Rosales M.",Trinidad,"indígenas urbanos,desigualdad",https://www.academia.edu/44470171/Espacio_territorial_y_sociocultural_de_los_moje%C3%B1os_en_la_ciudad_de_Trinidad,,https://labtecnosocial.org/explora-bib/urbana/174.jpeg,174.jpeg
175,¡Sin permiso! Imaginarios y realidades de los jóvenes orureños,2009,"GAM - Oruro,FAM-Bolivia,PIEB",libro,Bolivia,Oruro,,,"Lara A.,Garcia D.,Villca J.",Oruro,imaginarios urbanos,https://www.academia.edu/44470172/_Sin_permiso_Imaginarios_y_realidades_de_los_j%C3%B3venes_orure%C3%B1os,,https://labtecnosocial.org/explora-bib/urbana/175.jpeg,175.jpeg
176,Para escuchar las voces de la calle: el comercio en vía pública en La Paz,2009,"GAM - La Paz,FAM-Bolivia,PIEB",libro,Bolivia,La Paz,,,"Pereira Morato R.,Bridikhina E.,Montaño J.,Blanco R.",La Paz,"comercio,mercados",https://www.academia.edu/44470375/Para_escuchar_las_voces_de_la_calle_el_comercio_en_v%C3%ADa_p%C3%BAblica_en_La_Paz,,https://labtecnosocial.org/explora-bib/urbana/176.jpeg,176.jpeg
177,Historia y culturas del departamento de Santa Cruz,2009,"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",ensayo,Bolivia,Santa Cruz,Estados de la investigación: Santa Cruz. Vol I,,Peña Hasbun P.,Santa Cruz,historia,http://www.pieb.com.bo/2016/BPIEB/BPIEB_30_109_Santav1.pdf,,https://labtecnosocial.org/explora-bib/urbana/177.jpeg,177.jpeg
178,Economía y población del departamento de Santa Cruz,2009,"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",ensayo,Bolivia,,Estados de la investigación: Santa Cruz. Vol I,,Prado Robles G.,Santa Cruz,"comercio,mercados",http://www.pieb.com.bo/2016/BPIEB/BPIEB_30_109_Santav1.pdf,,https://labtecnosocial.org/explora-bib/urbana/178.jpeg,178.jpeg
179,"Desarrollo humano: salud, educación, asuntos de género y generación",2009,"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",ensayo,Bolivia,,Estados de la investigación: Santa Cruz. Vol I,,"Saldias E.,Moreira M.",Santa Cruz,"salud,vivienda,educación",http://www.pieb.com.bo/2016/BPIEB/BPIEB_30_109_Santav1.pdf,,https://labtecnosocial.org/explora-bib/urbana/179.jpeg,179.jpeg
180,"Estado, estructura y poder en Santa Cruz",2009,"GAM - Santa Cruz,UAGRM,Museo de historia UAGRM,PIEB",ensayo,Bolivia,,Estados de la investigación: Santa Cruz. Vol I,,Pinto Mosqueira G.,Santa Cruz,"política,movimientos sociales",http://www.pieb.com.bo/2016/BPIEB/BPIEB_30_109_Santav1.pdf,,https://labtecnosocial.org/explora-bib/urbana/180.jpeg,180.jpeg
181,La permanente construcción de Lo Cruceño. Un estudio sobre la identidad en Santa Cruz de la Sierra,2009,"UAGRM,CEDURE,PIEB",libro,Bolivia,Santa Cruz,,,"Peña Hasbun P.,Barahona R.,Rivero E.,Gaya D.",Santa Cruz,identidad,https://www.academia.edu/44470851/La_permanente_construcci%C3%B3n_de_lo_cruce%C3%B1o_un_estudio_sobre_la_identidad_en_Santa_Cruz_de_la_Sierra,,https://labtecnosocial.org/explora-bib/urbana/181.jpeg,181.jpeg
182,Mujeres jóvenes trabajadoras asalariadas del Hogar. Santa Cruz,2009,"PIEB,iBase",informe,Bolivia,,,,"Sandoval D.,Iñiguez E.",Santa Cruz,género,https://docplayer.es/3319878-Mujeres-jovenes-trabajadoras-asalariadas-del-hogar.html,,https://labtecnosocial.org/explora-bib/urbana/182.png,182.png
183,Ecoclubes,2009,"PIEB,iBase",informe,Bolivia,,,,"Sandoval D.,Iñiguez E.",Santa Cruz,élites,https://vdocuments.pub/cuadernos-de-investigacion-no-6-piebcombo-de-una-integracion-solidaria.html?page=1,,https://labtecnosocial.org/explora-bib/urbana/183.jpeg,183.jpeg
184,"Trabajo, género e ingresos entre las comerciantes minoristas de potosí",2009,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,26,Absi P.,Potosí,"empleo,comercio",http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_26.pdf,,https://labtecnosocial.org/explora-bib/urbana/184.jpeg,184.jpeg
185,"La Paz, desde la investigación",2009,PIEB,ensayo,Bolivia,La Paz,T'inkazos,26,Rojas G.,La Paz,investigación urbana,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_26.pdf,,https://labtecnosocial.org/explora-bib/urbana/185.jpeg,185.jpeg
186,Investigar en Tarija: del reto al hecho,2009,PIEB,ensayo,Bolivia,La Paz,T'inkazos,26,Olarte K.,Tarija,investigación urbana,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_26.pdf,,https://labtecnosocial.org/explora-bib/urbana/186.jpeg,186.jpeg
187,Devolviendo lo social al control social: Aprendizajes desde el periurbano boliviano,2009,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,4,Cielo C.,Cochabamba,movimientos sociales,https://www.cedib.org/biblioteca/villa_libre_no_4_la_descentralizacion_en_las_ciudades/,,https://labtecnosocial.org/explora-bib/urbana/187.png,187.png
188,El Presupuesto público y la Participación Social: El caso del Municipio de Santa Cruz de la Sierra,2009,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,4,Peñafiel O.,Santa Cruz,gestión municipal,https://www.cedib.org/biblioteca/villa_libre_no_4_la_descentralizacion_en_las_ciudades/,,https://labtecnosocial.org/explora-bib/urbana/188.png,188.png
189,"Juntas vecinales y Comités de Vigilancia en las grandes ciudades. La Paz, Cochabamba y Santa Cruz.",2009,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,4,Blanes J.,"Cochabamba,La Paz,Santa Cruz","barrios populares,participación social",https://www.cedib.org/biblioteca/villa_libre_no_4_la_descentralizacion_en_las_ciudades/,,https://labtecnosocial.org/explora-bib/urbana/189.png,189.png
190,La visibilidad y el obrismo desde la estrategia política en el movimiento Plan Progreso en la ciudad de El Alto,2009,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,4,Revilla C.,El Alto,gestión municipal,https://www.cedib.org/biblioteca/villa_libre_no_4_la_descentralizacion_en_las_ciudades/,,https://labtecnosocial.org/explora-bib/urbana/190.png,190.png
191,Participación y (des)conocimiento popular en Oruro (2001-2007),2009,CEDIB,articulo de investigación,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,4,Martinelly E.,Oruro,participación social,https://www.cedib.org/biblioteca/villa_libre_no_4_la_descentralizacion_en_las_ciudades/,,https://labtecnosocial.org/explora-bib/urbana/191.png,191.png
192,Participación popular y control social: Exclusión y marginación de organizaciones sociales en la toma de decisiones sobre políticas públicas,2009,CEDIB,ensayo,Bolivia,Cochabamba,Villa Libre. Cuadernos de estudios sociales urbanos,4,"Carazas M.,Icuña S.,Apaza N.",La Paz,participación social,https://www.cedib.org/biblioteca/villa_libre_no_4_la_descentralizacion_en_las_ciudades/,,https://labtecnosocial.org/explora-bib/urbana/192.png,192.png
193,el proceso de trabajo y su organización en el transporte público,2009,IDIS - UMSA,articulo de investigación,Bolivia,La Paz,Temas Sociales,29,Aleman Vargas L.,La Paz,"transporte,empleo",https://repositorio.umsa.bo/handle/123456789/16254,,https://labtecnosocial.org/explora-bib/urbana/193.png,193.png
194,Vulnerabilidad social = ¿Vulnerabilidad institucional? La construcción social del desastre y la deshilvanada estructura de responsabilidades,2009,IIACH - UMSS,boletín,Bolivia,Cochabamba,Boletín. Apoyo a la investigación ASDI-UMSS-IIA,4,Bolivar H.,Urbanización boliviana,"riesgos,vivienda,desigualdad",https://www.iiach.org/copia-de-publicaciones-en-el-tiempo-2,,https://labtecnosocial.org/explora-bib/urbana/194.png,194.png
195,Las ciudades del altiplano: tendencias de la investigación urbana en Bolivia durante los años 2000,2009,IFEA,ensayo,Perú,,,,Poupeau F.,La Paz,investigación urbana,https://journals.openedition.org/bifea/2735,,https://labtecnosocial.org/explora-bib/urbana/195.jpeg,195.jpeg
196,Relaciones sociales e identidad en fiestas urbano-mestizas en la región andina de Bolivia,2009,X Encuentro para la Promoción y Difusión del Patrimonio Inmaterial de Países Iberoamericanos,ensayo,Perú,Lima,Fiestas y rituales. Memorias X encuentro.,,Cajias F.,"Oruro,La Paz",multilocalidad,http://www.infoartes.pe/wp-content/uploads/2014/12/fiestas-y-rituales.pdf#page=79,,https://labtecnosocial.org/explora-bib/urbana/196.jpeg,196.jpeg
197,Migración transnacional y emancipación. Relaciones de género y cambio social en las migraciones urbanas,2010,CESU - UMSS,ensayo,Bolivia,Cochabamba,Decursos,21,Bastia T.,Cochabamba,migración,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/197.jpeg,197.jpeg
198,Tensiones y convergencias. Confección y comercio informal en la circulación de bienes y narrativas en Cochabamba,2010,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,21,Scarborough I.,Cochabamba,"comercio,mercados",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/198.jpeg,198.jpeg
199,"Políticas Culturales. Diagnóstico para la generación de iniciativas culturales en el departamento de Cochabamba. (Soruco A., Sánchez W.)",2010,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,21,Ortiz F.,Cochabamba,arte y consumo cultural,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/199.jpeg,199.jpeg
200,Participación y control social en las empresas de servicios. El caso de la empresa social del agua para la ciudad de El Alto,2010,CESU - UMSS,articulo de investigación,Bolivia,Cochabamba,Decursos,22,Perez J.,El Alto,"participación social,agua",https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/200.jpeg,200.jpeg
201,Los barones del Oriente. El poder en Santa Cruz ayer y hoy. (V/a),2010,CESU - UMSS,reseña,Bolivia,Cochabamba,Decursos,22,Nogueira M.,Santa Cruz,élites,https://drive.google.com/drive/folders/1GJYWc0gOEXgcIdKDFeLLSFT28qJSaO_r,,https://labtecnosocial.org/explora-bib/urbana/201.jpeg,201.jpeg
202,Arquitecturas emergentes en El Alto. El fenómeno estético como integración cultural,2010,"GAM - El Alto,FAM-Bolivia,PIEB",libro,Bolivia,La Paz,,,"Cardenas Plaza R.,Mamani Aruquipa E.,Sejas Rivero S.",El Alto,arquitectura,https://www.academia.edu/44471623/Arquitecturas_emergentes_en_El_Alto_el_fen%C3%B3meno_como_integraci%C3%B3n_cultural,,https://labtecnosocial.org/explora-bib/urbana/202.jpeg,202.jpeg
203,Huellas migratorias. Duelo y religión en las familias de migrantes del Plan Tres Mil de la ciudad de Santa Cruz,2010,"Defensoría del Pueblo,Pastoral de Movilidad Humana,PIEB",libro,Bolivia,Santa Cruz,,,"Chirino F.,Jauregui M.,Nelson J.,Hollweg K.",Santa Cruz,migración,https://www.academia.edu/44471624/Huellas_migratorias_duelo_y_religi%C3%B3n_en_las_familias_de_migrantes_del_Plan_Tres_Mil_de_la_ciudad_de_Santa_Cruz,,https://labtecnosocial.org/explora-bib/urbana/203.jpeg,203.jpeg
204,Investigación acción sobre derechos sexuales y reproductivos en El Alto,2010,PIEB,articulo de investigación,Bolivia,La Paz,T'inkazos,28,Baldivieso D.,El Alto,salud sexual,http://www.pieb.com.bo/2016/BPIEB/BPIEBT_Tinkazos_28.pdf,,https://labtecnosocial.org/explora-bib/urbana/204.jpeg,204.jpeg
